Date, Open, High, Low, Close
1/13/20,7587.85,7635.77,7582.51,7617.6
1/10/20,7598.12,7631.96,7585.07,7587.85
1/9/20,7574.93,7627.76,7574.93,7598.12
1/8/20,7573.85,7579.48,7524.96,7574.93
1/7/20,7575.34,7604.59,7562.14,7573.85
1/6/20,7622.4,7622.4,7528.08,7575.34
1/3/20,7604.3,7626.41,7551,7622.4
1/2/20,7542.44,7624.78,7542.44,7604.3
12/31/19,7587.05,7587.41,7532.38,7542.44
12/30/19,7644.9,7644.9,7587.05,7587.05
12/27/19,7632.24,7665.4,7622.46,7644.9
12/26/19,7632.24,7632.24,7632.24,7632.24
12/25/19,7632.24,7636.16,7608.22,7632.24
12/24/19,7623.59,7636.16,7608.22,7632.24
12/23/19,7582.48,7628.2,7559.63,7623.59
12/20/19,7573.82,7599.52,7564.59,7582.48
12/19/19,7540.75,7575.9,7526.1,7573.82
12/18/19,7525.28,7557.05,7515.17,7540.75
12/17/19,7519.05,7537.66,7497.15,7525.28
12/16/19,7353.44,7552.65,7353.18,7519.05
12/13/19,7273.47,7429.04,7223.42,7353.44
12/12/19,7216.25,7307.36,7216.08,7273.47
12/11/19,7213.76,7250.67,7195.49,7216.25
12/10/19,7233.9,7234.4,7137.84,7213.76
12/9/19,7239.66,7255.73,7217.8,7233.9
12/6/19,7137.85,7241.5,7137.85,7239.66
12/5/19,7188.5,7194.78,7131.16,7137.85
12/4/19,7158.76,7190.04,7139.91,7188.5
12/3/19,7285.94,7285.94,7134.93,7158.76
12/2/19,7346.53,7400.27,7277.02,7285.94
11/29/19,7416.43,7421.4,7346.53,7346.53
11/28/19,7429.78,7429.78,7385.32,7416.43
11/27/19,7403.14,7446,7400.38,7429.78
11/26/19,7396.29,7421.3,7384.96,7403.14
11/25/19,7326.81,7401.78,7326.81,7396.29
11/22/19,7238.55,7343.26,7238.47,7326.81
11/21/19,7262.49,7262.49,7197.33,7238.55
11/20/19,7323.8,7323.8,7219.11,7262.49
11/19/19,7307.7,7404.47,7307.7,7323.8
11/18/19,7302.94,7335.36,7293.4,7307.7
11/15/19,7292.76,7335.55,7243.15,7302.94
11/14/19,7351.21,7351.28,7292.76,7292.76
11/13/19,7365.44,7365.44,7301.71,7351.21
11/12/19,7328.54,7390,7328.18,7365.44
11/11/19,7359.38,7359.38,7258.46,7328.54
11/8/19,7406.41,7406.83,7349.12,7359.38
11/7/19,7396.65,7431.94,7396,7406.41
11/6/19,7388.08,7398.78,7363.55,7396.65
11/5/19,7369.69,7402.79,7369.61,7388.08
11/4/19,7302.42,7392.73,7302.42,7369.69
11/1/19,7248.38,7307.18,7248.38,7302.42
10/31/19,7330.78,7335.16,7245.23,7248.38
10/30/19,7306.26,7334.04,7278.18,7330.78
10/29/19,7331.28,7335.73,7264.74,7306.26
10/28/19,7324.47,7346.92,7291.59,7331.28
10/25/19,7328.25,7331.17,7279.78,7324.47
10/24/19,7260.74,7338.87,7255.46,7328.25
10/23/19,7212.49,7265.86,7194.13,7260.74
10/22/19,7163.64,7230.17,7146.69,7212.49
10/21/19,7150.57,7197.53,7139.38,7163.64
10/18/19,7182.32,7197.14,7146.11,7150.57
10/17/19,7167.95,7237.78,7162.04,7182.32
10/16/19,7211.64,7217.63,7149.84,7167.95
10/15/19,7213.45,7242.37,7176.67,7211.64
10/14/19,7247.08,7251.8,7194.21,7213.45
10/11/19,7186.36,7250.09,7144.66,7247.08
10/10/19,7166.5,7212.9,7130.52,7186.36
10/9/19,7143.15,7196.41,7139.9,7166.5
10/8/19,7197.88,7223.86,7143.15,7143.15
10/7/19,7155.38,7206.89,7132.98,7197.88
10/4/19,7077.64,7157.75,7077.4,7155.38
10/3/19,7122.54,7129.02,7004.43,7077.64
10/2/19,7360.32,7360.32,7119.72,7122.54
10/1/19,7408.21,7433.24,7352.83,7360.32
9/30/19,7426.21,7439.62,7402.2,7408.21
9/27/19,7351.08,7440.77,7351,7426.21
9/26/19,7289.99,7387.09,7277.15,7351.08
9/25/19,7291.43,7292,7212.96,7289.99
9/24/19,7326.08,7348.97,7281.91,7291.43
9/23/19,7344.92,7362.3,7284.75,7326.08
9/20/19,7356.42,7376.31,7322.01,7344.92
9/19/19,7314.05,7373.08,7290.69,7356.42
9/18/19,7320.4,7350.52,7300.37,7314.05
9/17/19,7321.41,7350.24,7292.23,7320.4
