Currency,Date,Price 
BTC,1/13/20,8116.961008
BTC,1/12/20,8149.313717
BTC,1/11/20,8078.993532
BTC,1/10/20,8087.452885
BTC,1/9/20,7808.701364
BTC,1/8/20,8067.606369
BTC,1/7/20,8039.603701
BTC,1/6/20,7713.860754
BTC,1/5/20,7347.433264
BTC,1/4/20,7337.63667
BTC,1/3/20,7291.219505
BTC,1/2/20,6955.48758
BTC,1/1/20,7174.744012
BTC,12/31/19,7179.957819
BTC,12/30/19,7251.276794
BTC,12/29/19,7385.464848
BTC,12/28/19,7311.560644
BTC,12/27/19,7227.293712
BTC,12/26/19,7183.706536
BTC,12/25/19,7212.809395
BTC,12/24/19,7235.62665
BTC,12/23/19,7166.172379
BTC,12/22/19,7236.986205
BTC,12/21/19,7286.335081
BTC,12/20/19,7139.933371
BTC,12/19/19,7147.568324
BTC,12/18/19,7424.0154
BTC,12/17/19,6584.028843
BTC,12/16/19,6883.496394
BTC,12/15/19,7112.731476
BTC,12/14/19,7087.024985
BTC,12/13/19,7238.874323
BTC,12/12/19,7190.272369
BTC,12/11/19,7198.066677
BTC,12/10/19,7239.762575
BTC,12/9/19,7333.096043
BTC,12/8/19,7550.2392
BTC,12/7/19,7532.123513
BTC,12/6/19,7511.880583
BTC,12/5/19,7398.78705
BTC,12/4/19,7213.733762
BTC,12/3/19,7315.367765
BTC,12/2/19,7333.43293
BTC,12/1/19,7381.963008
BTC,11/30/19,7542.235609
BTC,11/29/19,7729.265939
BTC,11/28/19,7390.207469
BTC,11/27/19,7523.480673
BTC,11/26/19,7141.069449
BTC,11/25/19,7211.861809
BTC,11/24/19,7041.732936
BTC,11/23/19,7303.405759
BTC,11/22/19,7262.110535
BTC,11/21/19,7612.740574
BTC,11/20/19,8074.843174
BTC,11/19/19,8118.488536
BTC,11/18/19,8205.806366
BTC,11/17/19,8537.339652
BTC,11/16/19,8469.260899
BTC,11/15/19,8500.643558
BTC,11/14/19,8656.970922
BTC,11/13/19,8749.520591
BTC,11/12/19,8760.892718
BTC,11/11/19,8711.534339
BTC,11/10/19,9081.186878
BTC,11/9/19,8798.042055
BTC,11/8/19,8794.358645
BTC,11/7/19,9226.485821
BTC,11/6/19,9335.752402
BTC,11/5/19,9326.599624
BTC,11/4/19,9369.628081
BTC,11/3/19,9202.415451
BTC,11/2/19,9290.896602
BTC,11/1/19,9197.632345
BTC,10/31/19,9131.41063
BTC,10/30/19,9225.995479
BTC,10/29/19,9455.724693
BTC,10/28/19,9458.22336
BTC,10/27/19,9578.367556
BTC,10/26/19,9171.306532
BTC,10/25/19,8591.223897
BTC,10/24/19,7460.617416
BTC,10/23/19,7420.415836
BTC,10/22/19,8073.409544
BTC,10/21/19,8200.246099
BTC,10/20/19,8200.318763
BTC,10/19/19,7943.347107
BTC,10/18/19,7970.239476
BTC,10/17/19,8058.058081
