,date,value
8,12/30/19,1514.75
9,12/27/19,1511.5
10,12/24/19,
11,12/23/19,1482.1
12,12/20/19,1479
13,12/19/19,1476.7
14,12/18/19,1474.05
15,12/17/19,1475.8
16,12/16/19,1477.9
17,12/13/19,1466.6
18,12/12/19,1467.8
19,12/11/19,1466.8
20,12/10/19,1464.95
21,12/9/19,1461.7
22,12/6/19,1459.65
23,12/5/19,1475.95
24,12/4/19,1475.1
25,12/3/19,1477.3
26,12/2/19,1461.15
27,11/29/19,1460.15
28,11/28/19,1454.65
29,11/27/19,1454.35
30,11/26/19,1454.65
31,11/25/19,1458.4
32,11/22/19,1464.45
33,11/21/19,1467.05
34,11/20/19,1471.7
35,11/19/19,1468.45
36,11/18/19,1467.65
37,11/15/19,1466.9
38,11/14/19,1466.65
39,11/13/19,1462.9
40,11/12/19,1452.05
41,11/11/19,1458.7
42,11/8/19,1464.15
43,11/7/19,1484.25
44,11/6/19,1486.05
45,11/5/19,1488.95
46,11/4/19,1509.45
47,11/1/19,1508.8
48,10/31/19,1510.95
49,10/30/19,1492.1
50,10/29/19,1486.75
51,10/28/19,1492.4
52,10/25/19,1513.45
53,10/24/19,1496.55
54,10/23/19,1494.45
55,10/22/19,1485.35
56,10/21/19,1491.65
57,10/18/19,1490
58,10/17/19,1492.65
59,10/16/19,1485.1
60,10/15/19,1487.8
61,10/14/19,1490.6
62,10/11/19,1479.15
63,10/10/19,1494.8
64,10/9/19,1507.25
65,10/8/19,1505.85
66,10/7/19,1501.25
67,10/4/19,1499.15
68,10/3/19,1517.1
69,10/2/19,1492.6
70,10/1/19,1473.45
71,9/30/19,1485.3
72,9/27/19,1489.9
73,9/26/19,1506.4
74,9/25/19,1528.75
75,9/24/19,1520.65
76,9/23/19,1522.1
77,9/20/19,1501.9
78,9/19/19,1500.7
79,9/18/19,1503.5
80,9/17/19,1502.1
81,9/16/19,1497.2
82,9/13/19,1503.1
83,9/12/19,1515.2
84,9/11/19,1490.65
85,9/10/19,1498.25
86,9/9/19,1509.2
87,9/6/19,1523.7
88,9/5/19,1529.1
89,9/4/19,1546.1
90,9/3/19,1537.85
91,9/2/19,1525.95
92,8/30/19,1528.4
93,8/29/19,1540.2
94,8/28/19,1537.15
95,8/27/19,1532.95
96,8/23/19,1503.8
97,8/22/19,1502.05
98,8/21/19,1503.25
99,8/20/19,1504.55
100,8/19/19,1496.6
101,8/16/19,1515.25
102,8/15/19,1515.65
103,8/14/19,1513.25
104,8/13/19,1498.4
105,8/12/19,1504.7
106,8/9/19,1497.7
107,8/8/19,1495.75
108,8/7/19,1506.05
109,8/6/19,1465.25
110,8/5/19,1465.25
111,8/2/19,1441.75
112,8/1/19,1406.8
113,7/31/19,1427.55
114,7/30/19,1425.9
115,7/29/19,1419.05
116,7/26/19,1420.4
