date, value
1/15/10,2287.99
1/19/10,2320.4
1/20/10,2291.25
1/21/10,2265.7
1/22/10,2205.29
1/25/10,2210.8
1/26/10,2203.73
1/27/10,2221.41
1/28/10,2179
1/29/10,2147.35
2/1/10,2171.2
2/2/10,2190.06
2/3/10,2190.91
2/4/10,2125.43
2/5/10,2141.12
2/8/10,2126.05
2/9/10,2150.87
2/10/10,2147.87
2/11/10,2177.41
2/12/10,2183.53
2/16/10,2214.19
2/17/10,2226.29
2/18/10,2241.71
2/19/10,2243.87
2/22/10,2242.03
2/23/10,2213.44
2/24/10,2235.9
2/25/10,2234.22
2/26/10,2238.26
3/1/10,2273.57
3/2/10,2280.79
3/3/10,2280.68
3/4/10,2292.31
3/5/10,2326.35
3/8/10,2332.21
3/9/10,2340.68
3/10/10,2358.95
3/11/10,2368.46
3/12/10,2367.66
3/15/10,2362.21
3/16/10,2378.01
3/17/10,2389.09
3/18/10,2391.28
3/19/10,2374.41
3/22/10,2395.4
3/23/10,2415.24
3/24/10,2398.76
3/25/10,2397.41
3/26/10,2395.13
3/29/10,2404.36
3/30/10,2410.69
3/31/10,2397.96
4/1/10,2402.58
4/5/10,2429.53
4/6/10,2436.81
4/7/10,2431.16
4/8/10,2436.81
4/9/10,2454.05
4/12/10,2457.87
4/13/10,2465.99
4/14/10,2504.86
4/15/10,2515.69
4/16/10,2481.26
4/19/10,2480.11
4/20/10,2500.31
4/21/10,2504.61
4/22/10,2519.07
4/23/10,2530.15
4/26/10,2522.95
4/27/10,2471.47
4/28/10,2471.73
4/29/10,2511.92
4/30/10,2461.19
5/3/10,2498.74
5/4/10,2424.25
5/5/10,2402.29
5/6/10,2319.64
5/7/10,2265.64
5/10/10,2374.67
5/11/10,2375.31
5/12/10,2425.02
5/13/10,2394.36
5/14/10,2346.85
5/17/10,2354.23
5/18/10,2317.26
5/19/10,2298.37
5/20/10,2204.01
5/21/10,2229.04
5/24/10,2213.55
5/25/10,2210.95
5/26/10,2195.88
5/27/10,2277.68
5/28/10,2257.04
6/1/10,2222.33
6/2/10,2281.07
6/3/10,2303.03
6/4/10,2219.17
6/7/10,2173.9
6/8/10,2170.57
6/9/10,2158.85
6/10/10,2218.71
6/11/10,2243.6
6/14/10,2243.96
6/15/10,2305.88
6/16/10,2305.93
6/17/10,2307.16
6/18/10,2309.8
6/21/10,2289.09
6/22/10,2261.8
6/23/10,2254.23
6/24/10,2217.42
6/25/10,2223.48
6/28/10,2220.65
6/29/10,2135.18
6/30/10,2109.24
7/1/10,2101.36
7/2/10,2091.79
7/6/10,2093.88
7/7/10,2159.47
7/8/10,2175.4
7/9/10,2196.45
7/12/10,2198.36
7/13/10,2242.03
7/14/10,2249.84
7/15/10,2249.08
7/16/10,2179.05
7/19/10,2198.23
7/20/10,2222.49
7/21/10,2187.33
7/22/10,2245.89
7/23/10,2269.47
7/26/10,2296.43
7/27/10,2288.25
7/28/10,2264.56
7/29/10,2251.69
7/30/10,2254.7
8/2/10,2295.36
8/3/10,2283.52
8/4/10,2303.57
8/5/10,2293.06
8/6/10,2288.47
8/9/10,2305.69
8/10/10,2277.17
8/11/10,2208.63
8/12/10,2190.27
8/13/10,2173.48
8/16/10,2181.87
8/17/10,2209.44
8/18/10,2215.7
8/19/10,2178.95
8/20/10,2179.76
8/23/10,2159.63
8/24/10,2123.76
8/25/10,2141.54
8/26/10,2118.69
8/27/10,2153.63
8/30/10,2119.97
8/31/10,2114.03
9/1/10,2176.84
9/2/10,2200.01
9/3/10,2233.75
9/7/10,2208.89
9/8/10,2228.87
9/9/10,2236.2
9/10/10,2242.48
9/13/10,2285.71
9/14/10,2289.77
9/15/10,2301.32
9/16/10,2303.25
9/17/10,2315.61
9/20/10,2355.83
9/21/10,2349.35
9/22/10,2334.55
9/23/10,2327.08
9/24/10,2381.22
9/27/10,2369.77
9/28/10,2379.59
9/29/10,2376.56
9/30/10,2368.62
10/1/10,2370.75
10/4/10,2344.52
10/5/10,2399.83
10/6/10,2380.66
10/7/10,2383.67
10/8/10,2401.91
10/11/10,2402.33
10/12/10,2417.92
10/13/10,2441.23
10/14/10,2435.38
10/15/10,2468.77
10/18/10,2480.66
10/19/10,2436.95
10/20/10,2457.39
10/21/10,2459.67
10/22/10,2479.39
10/25/10,2490.85
10/26/10,2497.29
10/27/10,2503.26
10/28/10,2507.37
10/29/10,2507.41
11/1/10,2504.84
11/2/10,2533.52
11/3/10,2540.27
11/4/10,2577.34
11/5/10,2578.98
11/8/10,2580.05
11/9/10,2562.98
11/10/10,2578.78
11/11/10,2555.52
11/12/10,2518.21
11/15/10,2513.82
11/16/10,2469.84
11/17/10,2476.01
11/18/10,2514.4
11/19/10,2518.12
11/22/10,2532.02
11/23/10,2494.95
11/24/10,2543.12
11/26/10,2534.56
11/29/10,2525.22
11/30/10,2498.23
12/1/10,2549.43
12/2/10,2579.35
12/3/10,2591.46
12/6/10,2594.92
12/7/10,2598.49
12/8/10,2609.16
12/9/10,2616.67
12/10/10,2637.54
12/13/10,2624.91
12/14/10,2627.72
12/15/10,2617.22
12/16/10,2637.31
12/17/10,2642.97
12/20/10,2649.56
12/21/10,2667.61
12/22/10,2671.48
12/23/10,2665.6
12/27/10,2667.27
12/28/10,2662.88
12/29/10,2666.93
12/30/10,2662.98
12/31/10,2652.87
1/3/11,2691.52
1/4/11,2681.25
1/5/11,2702.2
1/6/11,2709.89
1/7/11,2703.17
1/10/11,2707.8
1/11/11,2716.83
1/12/11,2737.33
1/13/11,2735.29
1/14/11,2755.3
1/18/11,2765.85
1/19/11,2725.36
1/20/11,2704.29
1/21/11,2689.54
1/24/11,2717.55
1/25/11,2719.25
1/26/11,2739.5
1/27/11,2755.28
1/28/11,2686.89
1/31/11,2700.08
2/1/11,2751.19
2/2/11,2749.56
2/3/11,2753.88
2/4/11,2769.3
2/7/11,2783.99
2/8/11,2797.05
2/9/11,2789.07
2/10/11,2790.45
2/11/11,2809.44
2/14/11,2817.18
2/15/11,2804.35
2/16/11,2825.56
2/17/11,2831.58
2/18/11,2833.95
2/22/11,2756.42
2/23/11,2722.99
2/24/11,2737.9
2/25/11,2781.05
2/28/11,2782.27
3/1/11,2737.41
3/2/11,2748.07
3/3/11,2798.74
3/4/11,2784.67
3/7/11,2745.63
3/8/11,2765.77
3/9/11,2751.72
3/10/11,2701.02
3/11/11,2715.61
3/14/11,2700.97
3/15/11,2667.33
3/16/11,2616.82
3/17/11,2636.05
3/18/11,2643.67
3/21/11,2692.09
3/22/11,2683.87
3/23/11,2698.3
3/24/11,2736.42
3/25/11,2743.06
3/28/11,2730.68
3/29/11,2756.89
3/30/11,2776.79
3/31/11,2781.07
4/1/11,2789.6
4/4/11,2789.19
4/5/11,2791.19
4/6/11,2799.82
4/7/11,2796.14
4/8/11,2780.42
4/11/11,2771.51
4/12/11,2744.79
4/13/11,2761.52
4/14/11,2760.22
4/15/11,2764.65
4/18/11,2735.38
4/19/11,2744.97
4/20/11,2802.51
4/21/11,2820.16
4/25/11,2825.88
4/26/11,2847.54
4/27/11,2869.88
4/28/11,2872.53
4/29/11,2873.54
5/2/11,2864.08
5/3/11,2841.62
5/4/11,2828.23
5/5/11,2814.72
5/6/11,2827.56
5/9/11,2843.25
5/10/11,2871.89
5/11/11,2845.06
5/12/11,2863.04
5/13/11,2828.47
5/16/11,2782.31
5/17/11,2783.21
5/18/11,2815
5/19/11,2823.31
5/20/11,2803.32
5/23/11,2758.9
5/24/11,2746.16
5/25/11,2761.38
