date, value
1/14/10,18.58
1/15/10,18.52
1/18/10,18.66
1/19/10,18.5
1/20/10,18.48
1/21/10,17.68
1/22/10,17.28
1/25/10,17.16
1/26/10,16.79
1/27/10,16.74
1/28/10,16.62
1/29/10,16.29
2/1/10,16.23
2/2/10,16.78
2/3/10,16.79
2/4/10,16.13
2/5/10,15.17
2/8/10,15.14
2/9/10,15.2
2/10/10,15.6
2/11/10,15.37
2/12/10,15.33
2/15/10,15.57
2/16/10,15.82
2/17/10,16.21
2/18/10,15.83
2/19/10,15.95
2/22/10,16.44
2/23/10,16.1
2/24/10,15.76
2/25/10,15.92
2/26/10,16.12
3/1/10,16.5
3/2/10,16.57
3/3/10,17.17
3/4/10,17.34
3/5/10,17.25
3/8/10,17.33
3/9/10,17.05
3/10/10,17.47
3/11/10,16.91
3/12/10,17.31
3/15/10,17.02
3/16/10,17.24
3/17/10,17.54
3/18/10,17.49
3/19/10,17.31
3/22/10,16.78
3/23/10,16.78
3/24/10,16.68
3/25/10,16.79
3/26/10,16.85
3/29/10,17.15
3/30/10,17.41
3/31/10,17.5
4/1/10,17.69
4/6/10,17.92
4/7/10,17.97
4/8/10,17.98
4/9/10,18.34
4/12/10,18.49
4/13/10,18.16
4/14/10,18.39
4/15/10,18.27
4/16/10,18.35
4/19/10,17.5
4/20/10,18
4/21/10,17.82
4/22/10,17.98
4/23/10,17.89
4/26/10,18.35
4/27/10,18.16
4/28/10,17.96
4/29/10,18.15
4/30/10,18.62
5/4/10,18.71
5/5/10,17.63
5/6/10,17.69
5/7/10,17.7
5/10/10,18.46
5/11/10,18.42
5/12/10,19.59
5/13/10,19.43
5/14/10,19.64
5/17/10,19.11
5/18/10,18.82
5/19/10,18.53
5/20/10,17.93
5/21/10,17.72
5/24/10,17.78
5/25/10,17.63
5/26/10,18.27
5/27/10,18.36
5/28/10,18.53
6/1/10,18.3
6/2/10,18.43
6/3/10,18.27
6/4/10,17.76
6/7/10,17.36
6/8/10,18.34
6/9/10,18.27
6/10/10,17.98
6/11/10,18.31
6/14/10,18.43
6/15/10,18.42
6/16/10,18.51
6/17/10,18.5
6/18/10,18.77
6/21/10,19.37
6/22/10,18.63
6/23/10,18.91
6/24/10,18.38
6/25/10,18.65
6/28/10,19.11
6/29/10,18.57
6/30/10,18.74
7/1/10,18.65
7/2/10,17.98
7/5/10,17.85
7/6/10,17.85
7/7/10,17.65
7/8/10,18
7/9/10,17.87
7/12/10,18.06
7/13/10,18
7/14/10,18.29
7/15/10,18.42
7/16/10,18.25
7/19/10,17.78
7/20/10,17.55
7/21/10,17.88
7/22/10,17.82
7/23/10,18.17
7/26/10,18.01
7/27/10,18.16
7/28/10,17.63
7/29/10,17.6
7/30/10,17.66
8/2/10,18.11
8/3/10,18.42
8/4/10,18.5
8/5/10,18.35
8/6/10,18.3
8/9/10,18.48
8/10/10,18.09
8/11/10,18.12
8/12/10,17.92
8/13/10,18.06
8/16/10,18.2
8/17/10,18.54
8/18/10,18.36
8/19/10,18.45
8/20/10,18.14
8/23/10,17.94
8/24/10,17.88
8/25/10,18.63
8/26/10,19.11
8/27/10,19.03
8/31/10,18.87
9/1/10,19.47
9/2/10,19.45
9/3/10,19.66
9/6/10,19.86
9/7/10,19.65
9/8/10,20.02
9/9/10,19.97
9/10/10,19.9
9/13/10,19.93
9/14/10,20.31
9/15/10,20.44
9/16/10,20.76
9/17/10,20.85
9/20/10,20.91
9/21/10,20.76
9/22/10,21.08
9/23/10,21.08
9/24/10,21.35
9/27/10,21.54
9/28/10,21.17
9/29/10,21.87
9/30/10,22.07
10/1/10,21.95
10/4/10,22.03
10/5/10,22.24
10/6/10,22.92
10/7/10,23.38
10/8/10,22.37
10/11/10,23.31
10/12/10,23.03
10/13/10,23.53
10/14/10,24.49
10/15/10,24.42
10/18/10,24.02
10/19/10,24.26
10/20/10,23.71
10/21/10,23.9
10/22/10,23.05
10/25/10,23.71
10/26/10,23.48
10/27/10,23.77
10/28/10,23.73
10/29/10,23.96
11/1/10,24.91
11/2/10,24.73
