,date,value
8,2019-12-30,1514.75
9,2019-12-27,1511.5
10,2019-12-24,
11,2019-12-23,1482.1
12,2019-12-20,1479.0
13,2019-12-19,1476.7
14,2019-12-18,1474.05
15,2019-12-17,1475.8
16,2019-12-16,1477.9
17,2019-12-13,1466.6
18,2019-12-12,1467.8
19,2019-12-11,1466.8
20,2019-12-10,1464.95
21,2019-12-09,1461.7
22,2019-12-06,1459.65
23,2019-12-05,1475.95
24,2019-12-04,1475.1
25,2019-12-03,1477.3
26,2019-12-02,1461.15
27,2019-11-29,1460.15
28,2019-11-28,1454.65
29,2019-11-27,1454.35
30,2019-11-26,1454.65
31,2019-11-25,1458.4
32,2019-11-22,1464.45
33,2019-11-21,1467.05
34,2019-11-20,1471.7
35,2019-11-19,1468.45
36,2019-11-18,1467.65
37,2019-11-15,1466.9
38,2019-11-14,1466.65
39,2019-11-13,1462.9
40,2019-11-12,1452.05
41,2019-11-11,1458.7
42,2019-11-08,1464.15
43,2019-11-07,1484.25
44,2019-11-06,1486.05
45,2019-11-05,1488.95
46,2019-11-04,1509.45
47,2019-11-01,1508.8
48,2019-10-31,1510.95
49,2019-10-30,1492.1
50,2019-10-29,1486.75
51,2019-10-28,1492.4
52,2019-10-25,1513.45
53,2019-10-24,1496.55
54,2019-10-23,1494.45
55,2019-10-22,1485.35
56,2019-10-21,1491.65
57,2019-10-18,1490.0
58,2019-10-17,1492.65
59,2019-10-16,1485.1
60,2019-10-15,1487.8
61,2019-10-14,1490.6
62,2019-10-11,1479.15
63,2019-10-10,1494.8
64,2019-10-09,1507.25
65,2019-10-08,1505.85
66,2019-10-07,1501.25
67,2019-10-04,1499.15
68,2019-10-03,1517.1
69,2019-10-02,1492.6
70,2019-10-01,1473.45
71,2019-09-30,1485.3
72,2019-09-27,1489.9
73,2019-09-26,1506.4
74,2019-09-25,1528.75
75,2019-09-24,1520.65
76,2019-09-23,1522.1
77,2019-09-20,1501.9
78,2019-09-19,1500.7
79,2019-09-18,1503.5
80,2019-09-17,1502.1
81,2019-09-16,1497.2
82,2019-09-13,1503.1
83,2019-09-12,1515.2
84,2019-09-11,1490.65
85,2019-09-10,1498.25
86,2019-09-09,1509.2
87,2019-09-06,1523.7
88,2019-09-05,1529.1
89,2019-09-04,1546.1
90,2019-09-03,1537.85
91,2019-09-02,1525.95
92,2019-08-30,1528.4
93,2019-08-29,1540.2
94,2019-08-28,1537.15
95,2019-08-27,1532.95
96,2019-08-23,1503.8
97,2019-08-22,1502.05
98,2019-08-21,1503.25
99,2019-08-20,1504.55
100,2019-08-19,1496.6
101,2019-08-16,1515.25
102,2019-08-15,1515.65
103,2019-08-14,1513.25
104,2019-08-13,1498.4
105,2019-08-12,1504.7
106,2019-08-09,1497.7
107,2019-08-08,1495.75
108,2019-08-07,1506.05
109,2019-08-06,1465.25
110,2019-08-05,1465.25
111,2019-08-02,1441.75
112,2019-08-01,1406.8
113,2019-07-31,1427.55
114,2019-07-30,1425.9
115,2019-07-29,1419.05
116,2019-07-26,1420.4
117,2019-07-25,1416.1
118,2019-07-24,1426.95
119,2019-07-23,1425.55
120,2019-07-22,1427.75
121,2019-07-19,1439.7
122,2019-07-18,1417.45
123,2019-07-17,1410.35
124,2019-07-16,1409.85
125,2019-07-15,1412.4
126,2019-07-12,1407.6
127,2019-07-11,1413.75
128,2019-07-10,1408.3
129,2019-07-09,1391.55
130,2019-07-08,1400.1
131,2019-07-05,1388.65
132,2019-07-04,1414.9
133,2019-07-03,1413.5
134,2019-07-02,1391.05
135,2019-07-01,1390.1
136,2019-06-28,1409.0
137,2019-06-27,1402.5
138,2019-06-26,1403.95
139,2019-06-25,1431.4
140,2019-06-24,1405.7
141,2019-06-21,1397.15
142,2019-06-20,1379.5
143,2019-06-19,1344.05
144,2019-06-18,1341.35
145,2019-06-17,1341.3
146,2019-06-14,1351.25
147,2019-06-13,1335.9
148,2019-06-12,1332.35
149,2019-06-11,1324.3
150,2019-06-10,1328.6
151,2019-06-07,1340.65
152,2019-06-06,1335.5
153,2019-06-05,1335.05
154,2019-06-04,1324.25
155,2019-06-03,1317.1
156,2019-05-31,1295.55
157,2019-05-30,1280.95
158,2019-05-29,1281.65
159,2019-05-28,1278.3
160,2019-05-24,1282.5
161,2019-05-23,1283.65
162,2019-05-22,1273.8
163,2019-05-21,1271.15
164,2019-05-20,1276.85
165,2019-05-17,1280.8
166,2019-05-16,1291.7
167,2019-05-15,1299.1
168,2019-05-14,1298.4
169,2019-05-13,1295.6
170,2019-05-10,1287.1
171,2019-05-09,1286.1
172,2019-05-08,1285.2
173,2019-05-07,1281.2
174,2019-05-03,1278.55
175,2019-05-02,1270.95
176,2019-05-01,1283.8
177,2019-04-30,1282.3
178,2019-04-29,1279.5
179,2019-04-26,1284.2
180,2019-04-25,1280.8
181,2019-04-24,1271.65
182,2019-04-23,1269.5
183,2019-04-18,1275.7
184,2019-04-17,1275.85
185,2019-04-16,1276.35
186,2019-04-15,1285.65
187,2019-04-12,1294.3
188,2019-04-11,1298.8
189,2019-04-10,1305.45
190,2019-04-09,1303.0
191,2019-04-08,1300.0
192,2019-04-05,1288.45
193,2019-04-04,1283.15
194,2019-04-03,1290.45
195,2019-04-02,1290.3
196,2019-04-01,1293.5
197,2019-03-29,1295.4
198,2019-03-28,1295.15
199,2019-03-27,1309.7
200,2019-03-26,1316.3
201,2019-03-25,1319.55
202,2019-03-22,1311.3
203,2019-03-21,1309.6
204,2019-03-20,1303.7
205,2019-03-19,1307.7
206,2019-03-18,1305.6
207,2019-03-15,1303.5
208,2019-03-14,1295.55
209,2019-03-13,1306.95
210,2019-03-12,1297.05
211,2019-03-11,1292.75
212,2019-03-08,1296.75
213,2019-03-07,1285.3
214,2019-03-06,1285.85
215,2019-03-05,1283.8
216,2019-03-04,1285.4
217,2019-03-01,1311.95
218,2019-02-28,1319.15
219,2019-02-27,1322.85
220,2019-02-26,1325.05
221,2019-02-25,1331.05
222,2019-02-22,1329.05
223,2019-02-21,1331.25
224,2019-02-20,1343.75
225,2019-02-19,1334.15
226,2019-02-18,1325.5
227,2019-02-15,1316.55
228,2019-02-14,1311.45
229,2019-02-13,1312.8
230,2019-02-12,1310.0
231,2019-02-11,1306.4
232,2019-02-08,1314.85
233,2019-02-07,1310.0
234,2019-02-06,1312.4
235,2019-02-05,1314.2
236,2019-02-04,1312.15
237,2019-02-01,1318.7
238,2019-01-31,1323.25
239,2019-01-30,1310.7
240,2019-01-29,1307.55
241,2019-01-28,1302.15
242,2019-01-25,1293.9
243,2019-01-24,1283.7
244,2019-01-23,1279.8
245,2019-01-22,1282.1
246,2019-01-21,1279.55
247,2019-01-18,1284.2
248,2019-01-17,1290.7
249,2019-01-16,1292.3
250,2019-01-15,1294.4
251,2019-01-14,1292.75
252,2019-01-11,1288.95
253,2019-01-10,1291.9
254,2019-01-09,1288.6
255,2019-01-08,1286.45
256,2019-01-07,1292.2
257,2019-01-04,1279.9
258,2019-01-03,1290.45
259,2019-01-02,1282.9
260,2018-12-31,
261,2018-12-28,1279.0
262,2018-12-27,1268.0
263,2018-12-24,
264,2018-12-21,1258.15
265,2018-12-20,1259.75
266,2018-12-19,1255.0
267,2018-12-18,1246.3
268,2018-12-17,1241.65
269,2018-12-14,1235.35
270,2018-12-13,1242.75
271,2018-12-12,1245.75
272,2018-12-11,1245.3
273,2018-12-10,1245.35
274,2018-12-07,1243.3
275,2018-12-06,1242.55
276,2018-12-05,1235.9
